Game Title,Platform,Genre,Publisher,Release Year,NA Sales (M),EU Sales (M),JP Sales (M),Other Sales (M),Global Sales (M),Rating
Iron Legends: Rebirth,PS5,Shooter,Nintendo,2011,1.17,3.51,4.16,1.43,10.27,T
Galactic Lords: Ascension,PS5,RPG,Microsoft,2022,2.3,4.84,2.96,3.74,13.84,T
Elden Ring,PC,RPG,Microsoft,2008,0.84,4.04,0.93,1.13,6.94,E
Grand Theft Auto V,Nintendo Switch,Strategy,Sony,2011,1.03,0.86,2.22,4.87,8.98,E
Shadow Legends: Rebirth,PS5,RPG,Sony,2011,2.73,4.57,0.62,0.96,8.88,M
Shadow Warriors: Ascension,Xbox One,Strategy,Sony,2022,3.94,2.99,2.43,2.15,11.51,M
Galactic Raiders: Ascension,Xbox One,Sports,Capcom,2009,2.08,3.15,4.08,0.96,10.27,AO
Galactic Knights: Eclipse,PS4,Action,Capcom,2017,3.05,3.89,0.59,0.75,8.28,E10+
Dark Knights: Odyssey,PS4,Sports,Activision,2014,2.38,0.83,3.08,1.7,7.99,E
Iron Lords: Eclipse,PS5,Sports,Nintendo,2002,0.49,4.22,0.98,2.68,8.37,T
Galactic Knights: Odyssey,Nintendo Switch,Puzzle,Sony,2020,3.29,1.77,3.06,3.71,11.83,E10+
Mystic Knights: Odyssey,Nintendo Switch,Shooter,Sony,2014,4.25,0.36,2.23,0.9,7.74,E
Mystic Knights: Eclipse,Nintendo Switch,Sports,Microsoft,2017,3.2,3.52,1.18,0.7,8.6,AO
Mystic Raiders: Ascension,Xbox One,Sports,Capcom,2021,3.21,4.22,2.76,3.19,13.38,M
Galactic Warriors: Ascension,Xbox One,RPG,Ubisoft,2019,3.18,1.26,3.92,3.85,12.21,E
Iron Legends: Eclipse,PC,Action,Sony,2017,0.89,1.67,1.77,3.82,8.15,T
Mystic Raiders: Odyssey,Xbox Series X,Shooter,Nintendo,2001,2.16,4.49,3.3,4.38,14.33,E
Iron Warriors: Rebirth,PC,Puzzle,Ubisoft,2017,0.44,1.86,4.33,2.53,9.16,M
Mystic Warriors: Odyssey,PS4,Puzzle,Capcom,2007,4.86,4.09,2.55,3.45,14.95,E10+
Assassin's Creed Valhalla,PS5,Strategy,Nintendo,2011,3.67,4.12,4.68,4.68,17.15,M
Mystic Lords: Ascension,PS4,Sports,Sony,2014,1.42,4.55,2.09,2.68,10.74,T
Galactic Knights: Rebirth,Xbox Series X,Shooter,Capcom,2019,3.06,0.64,0.47,2.51,6.68,E10+
Iron Knights: Odyssey,Xbox Series X,Shooter,EA,2009,2.76,1.28,4.55,3.31,11.9,AO
Dark Warriors: Ascension,Nintendo Switch,Shooter,Microsoft,2000,2.12,1.39,1.47,4.04,9.02,E10+
Iron Lords: Odyssey,PC,Adventure,Sony,2005,4.35,3.05,4.37,4.25,16.02,M
Shadow Legends: Chronicles,PS5,Action,Microsoft,2016,3.36,4.48,2.69,2.39,12.92,E
Mystic Legends: Eclipse,Nintendo Switch,Adventure,EA,2001,1.78,0.57,1.37,4.24,7.96,E
Shadow Warriors: Eclipse,PS4,Puzzle,Activision,2010,4.41,1.48,4.86,4.56,15.31,E
Galactic Knights: Chronicles,PS5,RPG,EA,2022,1.56,0.91,3.04,2.89,8.4,M
God of War,Nintendo Switch,Action,Microsoft,2018,4.58,3.72,0.46,0.65,9.41,M
Minecraft,Xbox Series X,Sports,Microsoft,2009,4.26,4.96,4.25,3.57,17.04,E10+
The Legend of Zelda,Nintendo Switch,Puzzle,EA,2019,4.38,2.43,4.73,1.34,12.88,M
Mystic Lords: Odyssey,PC,Puzzle,Capcom,2022,3.05,0.89,1.75,1.31,7.0,T
Dark Legends: Eclipse,PC,Sports,Microsoft,2010,1.94,1.65,0.67,1.37,5.63,AO
Mystic Warriors: Chronicles,Xbox Series X,Sports,Activision,2014,4.56,2.11,2.91,4.03,13.61,M
Mystic Raiders: Chronicles,Xbox Series X,Shooter,Capcom,2012,1.7,4.04,3.37,3.2,12.31,E10+
Dark Lords: Chronicles,Xbox Series X,Puzzle,Sony,2003,4.28,0.83,1.45,2.98,9.54,E
Dark Warriors: Eclipse,Xbox Series X,RPG,Microsoft,2019,3.51,1.02,3.17,3.3,11.0,E
Dark Knights: Chronicles,PS4,Shooter,Nintendo,2023,1.24,0.68,0.97,4.81,7.7,AO
Dark Warriors: Rebirth,Xbox One,Sports,Microsoft,2007,4.45,3.43,4.73,1.54,14.15,E10+
Iron Raiders: Odyssey,Xbox One,RPG,Activision,2019,0.91,2.4,4.5,3.03,10.84,E10+
Dark Raiders: Eclipse,PS4,Shooter,Nintendo,2004,2.83,4.4,2.84,0.39,10.46,M
Shadow Raiders: Odyssey,PS4,Sports,Sony,2022,1.24,2.77,2.12,1.57,7.7,E
Dark Knights: Ascension,Xbox One,Strategy,Sony,2019,2.6,1.94,3.9,0.98,9.42,E
Dark Lords: Eclipse,Xbox One,Shooter,Capcom,2012,3.34,2.67,4.5,3.68,14.19,AO
Super Mario Odyssey,PS4,RPG,Nintendo,2022,2.5,0.93,1.72,2.28,7.43,M
Shadow Warriors: Chronicles,PS5,Adventure,EA,2001,0.22,0.63,1.59,0.68,3.12,M
Galactic Legends: Ascension,Xbox Series X,Shooter,EA,2008,4.64,3.93,1.58,4.2,14.35,T
Mystic Knights: Ascension,Xbox Series X,Puzzle,Sony,2001,0.83,0.54,4.57,3.8,9.74,AO
Among Us,Xbox One,RPG,Ubisoft,2013,3.04,4.17,4.17,3.9,15.28,AO
Horizon Forbidden West,PC,Strategy,Ubisoft,2023,2.4,0.25,3.14,0.31,6.1,E10+
Shadow Raiders: Ascension,PS5,Strategy,Activision,2008,4.01,0.7,2.41,3.93,11.05,AO
Mystic Raiders: Rebirth,Nintendo Switch,Puzzle,Ubisoft,2021,0.69,0.42,1.49,3.98,6.58,AO
The Sims,PS4,RPG,Sony,2023,3.95,1.82,0.51,2.72,9.0,T
Dark Lords: Odyssey,PS5,Strategy,Capcom,2008,2.4,2.15,3.07,4.69,12.31,E
Galactic Legends: Rebirth,Nintendo Switch,Strategy,Sony,2009,4.98,1.45,0.36,0.1,6.89,E10+
Galactic Raiders: Eclipse,Nintendo Switch,Puzzle,Activision,2002,2.85,0.83,2.32,4.64,10.64,E
Mystic Lords: Eclipse,PC,RPG,Activision,2005,1.95,4.9,4.66,0.52,12.03,AO
Splatoon 3,PS4,Puzzle,Ubisoft,2023,2.36,3.78,3.29,0.33,9.76,AO
Shadow Lords: Rebirth,PC,Shooter,EA,2005,1.08,0.52,2.45,2.51,6.56,E
Shadow Raiders: Rebirth,Xbox Series X,Sports,Microsoft,2023,2.97,2.68,0.74,2.65,9.04,E10+
Mystic Warriors: Eclipse,Xbox Series X,Puzzle,Sony,2015,2.16,2.61,1.12,0.27,6.16,M
Shadow Lords: Chronicles,PS5,RPG,Activision,2014,0.48,0.29,1.11,2.89,4.77,E10+
Iron Lords: Rebirth,Xbox Series X,Action,Microsoft,2023,0.21,2.26,4.59,4.8,11.86,E10+
Galactic Warriors: Chronicles,PC,Puzzle,Nintendo,2010,1.36,3.76,2.97,1.17,9.26,AO
Iron Legends: Chronicles,PC,Sports,Capcom,2023,4.41,2.14,3.71,4.75,15.01,E10+
Shadow Warriors: Odyssey,Nintendo Switch,Adventure,Sony,2009,4.95,2.48,1.51,1.73,10.67,E10+
Shadow Warriors: Rebirth,PS5,Adventure,Capcom,2007,2.48,1.3,1.08,0.67,5.53,E10+
Mystic Knights: Rebirth,Xbox One,Action,Capcom,2019,0.51,0.45,4.36,0.72,6.04,M
Shadow Legends: Ascension,Xbox Series X,Adventure,Activision,2023,2.24,2.57,3.46,4.88,13.15,T
Shadow Knights: Ascension,Xbox Series X,Action,Capcom,2002,1.67,3.78,4.64,1.81,11.9,T
Shadow Lords: Ascension,Nintendo Switch,Action,Nintendo,2019,0.82,2.68,0.82,3.15,7.47,T
Halo Infinite,PS5,Puzzle,Capcom,2019,4.76,3.41,0.32,0.41,8.9,T
Iron Raiders: Rebirth,Xbox Series X,Action,Ubisoft,2020,4.51,2.42,2.98,4.84,14.75,M
Mystic Legends: Chronicles,PS4,Strategy,EA,2010,4.84,3.06,3.14,4.73,15.77,T
Cyberpunk 2077,PS5,Strategy,Microsoft,2022,1.8,4.52,2.42,3.33,12.07,T
Iron Lords: Chronicles,Xbox One,Shooter,Ubisoft,2004,0.87,2.45,4.71,2.13,10.16,E
Iron Warriors: Eclipse,Xbox One,RPG,Sony,2018,1.92,3.65,2.77,0.29,8.63,T
Dark Raiders: Chronicles,PS5,Adventure,EA,2009,0.18,0.13,3.71,3.48,7.5,AO
Shadow Knights: Rebirth,Xbox One,Sports,Ubisoft,2020,3.37,3.18,3.82,1.45,11.82,AO
Iron Warriors: Ascension,Xbox Series X,Puzzle,EA,2004,4.11,0.67,1.8,4.05,10.63,E
Iron Raiders: Eclipse,PS4,Shooter,EA,2016,2.15,1.99,2.06,2.18,8.38,M
Dark Raiders: Odyssey,Xbox One,RPG,Activision,2000,3.45,2.47,1.61,3.2,10.73,E10+
Galactic Raiders: Odyssey,Xbox One,Puzzle,Microsoft,2005,0.89,0.88,4.96,1.01,7.74,AO
Dark Warriors: Chronicles,Nintendo Switch,Shooter,Capcom,2001,1.96,4.02,3.48,2.45,11.91,T
Iron Knights: Ascension,Nintendo Switch,Sports,Nintendo,2021,0.76,0.85,3.16,4.58,9.35,E
Dark Knights: Rebirth,Xbox One,Puzzle,Activision,2000,0.37,3.67,2.72,1.85,8.61,M
Animal Crossing,Xbox Series X,Sports,Microsoft,2016,4.76,0.77,3.52,2.46,11.51,E10+
Dark Warriors: Odyssey,PS4,Action,Activision,2021,3.54,0.2,1.1,2.49,7.33,E
Dark Knights: Eclipse,PS4,Shooter,Activision,2015,0.37,4.61,4.46,3.36,12.8,T
Iron Warriors: Chronicles,Nintendo Switch,Puzzle,Activision,2003,4.75,4.01,4.84,2.56,16.16,E
Galactic Lords: Odyssey,Xbox One,Sports,Activision,2012,4.55,4.6,3.39,1.13,13.67,AO
Iron Lords: Ascension,PS4,RPG,Activision,2000,2.6,3.54,0.23,0.12,6.49,M
Red Dead Redemption 2,Nintendo Switch,Shooter,Nintendo,2004,3.98,2.63,0.64,0.17,7.42,M
Mystic Raiders: Eclipse,Xbox One,Strategy,Nintendo,2017,3.35,4.59,4.85,1.41,14.2,E10+
Dark Legends: Chronicles,PS4,Sports,Capcom,2005,2.85,4.68,0.66,4.52,12.71,T
Galactic Warriors: Eclipse,PS4,Shooter,Sony,2020,1.42,4.76,3.11,4.03,13.32,M
Mystic Warriors: Rebirth,Xbox Series X,Puzzle,Ubisoft,2004,0.49,1.7,3.85,3.94,9.98,E
Galactic Legends: Odyssey,Nintendo Switch,Strategy,EA,2009,2.86,3.33,3.33,1.6,11.12,E
Shadow Knights: Chronicles,Xbox Series X,RPG,Nintendo,2002,2.34,3.97,0.5,4.41,11.22,T
Galactic Raiders: Rebirth,PS4,Puzzle,Capcom,2002,3.04,3.7,0.94,0.59,8.27,E10+
Iron Warriors: Odyssey,Xbox One,Strategy,Sony,2018,3.91,3.4,3.01,4.83,15.15,T
Iron Legends: Odyssey,PS5,Puzzle,EA,2000,4.78,4.89,3.19,3.1,15.96,E10+
Galactic Raiders: Chronicles,PC,Strategy,Sony,2013,3.85,0.25,1.17,3.96,9.23,E10+
Galactic Lords: Rebirth,PS5,Sports,Ubisoft,2012,3.59,1.68,4.17,2.27,11.71,E
Dark Legends: Odyssey,Xbox Series X,RPG,Activision,2001,3.34,2.25,3.05,3.63,12.27,M
Mystic Legends: Ascension,Xbox Series X,Action,Nintendo,2015,0.53,0.2,0.97,1.25,2.95,E
Overwatch,Xbox Series X,Action,Activision,2000,3.87,2.86,3.3,4.76,14.79,E10+
Mystic Warriors: Ascension,Nintendo Switch,Strategy,Sony,2022,0.46,3.71,4.78,2.57,11.52,T
Shadow Lords: Eclipse,Xbox Series X,Action,Ubisoft,2023,1.4,1.96,3.56,3.34,10.26,E10+
Iron Knights: Eclipse,PS5,RPG,EA,2021,0.65,4.96,2.14,1.73,9.48,T
Iron Knights: Chronicles,Xbox One,Puzzle,Activision,2001,1.92,2.94,2.37,1.62,8.85,E10+
Call of Duty,PS4,Action,Sony,2022,4.0,0.29,3.15,1.5,8.94,M
Galactic Lords: Chronicles,PC,Shooter,Microsoft,2015,3.38,4.08,3.76,4.75,15.97,AO
Galactic Warriors: Odyssey,PC,Puzzle,EA,2005,4.66,2.52,3.61,4.44,15.23,M
Dark Legends: Rebirth,Xbox Series X,Action,Nintendo,2020,0.93,1.65,3.22,1.34,7.14,T
Dark Legends: Ascension,PS5,Adventure,EA,2021,4.72,4.68,3.61,4.23,17.24,M
Resident Evil Village,PS5,Sports,Activision,2010,1.69,0.84,2.98,3.33,8.84,E10+
Dark Lords: Ascension,Nintendo Switch,Sports,EA,2006,1.77,2.07,4.34,3.75,11.93,E10+
Shadow Knights: Eclipse,PS4,Adventure,Ubisoft,2023,3.56,4.07,0.87,4.4,12.9,E10+
Mystic Lords: Rebirth,PS5,Puzzle,Microsoft,2003,3.01,1.11,1.37,2.75,8.24,M
Iron Knights: Rebirth,Nintendo Switch,Shooter,Ubisoft,2003,2.84,4.77,4.33,4.44,16.38,E
Galactic Legends: Eclipse,PS4,Strategy,Microsoft,2016,4.29,1.36,1.37,2.15,9.17,T
Galactic Legends: Chronicles,PS5,Adventure,Microsoft,2002,3.8,0.57,1.62,1.0,6.99,AO
Galactic Knights: Ascension,PS5,Adventure,Nintendo,2020,0.76,2.59,1.41,2.48,7.24,E
Mystic Knights: Chronicles,Xbox Series X,Sports,Activision,2002,2.88,1.9,2.41,0.57,7.76,AO
Street Fighter VI,PC,Puzzle,Capcom,2022,4.88,1.04,2.72,0.77,9.41,T
Fortnite,PS4,Strategy,Microsoft,2002,2.66,0.98,2.23,1.06,6.93,AO
Shadow Knights: Odyssey,Xbox One,Sports,EA,2006,0.72,1.51,1.67,1.19,5.09,T
Mystic Lords: Chronicles,Nintendo Switch,RPG,Nintendo,2006,2.65,0.39,4.54,0.68,8.26,M
Pokemon Scarlet,Nintendo Switch,Shooter,EA,2006,0.68,4.38,0.51,3.89,9.46,T
Dark Lords: Rebirth,Xbox One,Strategy,EA,2012,3.22,4.82,4.71,3.72,16.47,E
Dark Raiders: Ascension,Xbox One,Strategy,Microsoft,2013,1.5,1.02,3.91,0.81,7.24,T
Shadow Legends: Odyssey,PS5,Strategy,Microsoft,2018,3.52,0.41,0.91,4.71,9.55,M
Shadow Legends: Eclipse,PS4,Strategy,Nintendo,2009,2.33,2.7,1.49,4.54,11.06,E
Iron Raiders: Chronicles,PS5,Adventure,Nintendo,2007,0.76,2.87,1.59,3.03,8.25,E10+
Shadow Raiders: Chronicles,Nintendo Switch,Shooter,Sony,2008,0.9,4.71,1.67,0.41,7.69,E
Galactic Warriors: Rebirth,Xbox One,Strategy,Activision,2016,3.54,1.94,3.92,4.0,13.4,E10+
Mystic Legends: Rebirth,Xbox One,Action,Nintendo,2009,3.61,4.73,2.75,2.72,13.81,E10+
Mystic Legends: Odyssey,Xbox One,Puzzle,Capcom,2005,4.7,2.69,2.98,4.87,15.24,M
Galactic Lords: Eclipse,PS4,Action,Ubisoft,2017,3.76,2.39,0.26,2.06,8.47,M
Iron Legends: Ascension,Xbox Series X,Strategy,EA,2007,2.97,2.88,2.79,0.26,8.9,AO
Iron Raiders: Ascension,PS5,Puzzle,Capcom,2018,0.72,4.27,0.37,3.74,9.1,AO
Shadow Lords: Odyssey,Xbox One,RPG,Activision,2009,4.95,0.49,0.8,1.04,7.28,M
Shadow Raiders: Eclipse,PS5,Shooter,Microsoft,2002,2.07,1.77,2.8,4.4,11.04,AO
Dark Raiders: Rebirth,PS4,Puzzle,Nintendo,2000,1.66,4.02,4.22,3.84,13.74,AO
Iron Legends: Rebirth,Xbox Series X,Action,Activision,2019,2.21,1.28,4.02,4.88,12.39,M
Galactic Lords: Ascension,Nintendo Switch,Strategy,Activision,2023,3.17,0.61,4.79,0.88,9.45,E10+
Elden Ring,Xbox One,Shooter,Microsoft,2008,0.14,2.32,2.92,0.4,5.78,T
